Senate
"First Name","Last Name",Party,District,"Year Score","Lifetime Score",URL
James,Baird,R,IN-04,0,6,https://www.lcv.org/moc/james-baird/
Victoria,Spartz,R,IN-05,0,4,https://www.lcv.org/moc/victoria-spartz/
Jefferson,Shreve,R,IN-06,3,3,https://www.lcv.org/moc/jefferson-shreve/
Andre,Carson,D,IN-07,100,95,https://www.lcv.org/moc/andre-carson/
Mark,Messmer,R,IN-08,0,0,https://www.lcv.org/moc/mark-b-messmer/
Erin,Houchin,R,IN-09,0,0,https://www.lcv.org/moc/erin-houchin/
Iowa
Mariannette,Miller-Meeks,R,IA-01,6,9,https://www.lcv.org/moc/mariannette-miller-meeks/
Ashley,Hinson,R,IA-02,0,8,https://www.lcv.org/moc/ashley-hinson/
Zach,Nunn,R,IA-03,3,6,https://www.lcv.org/moc/zach-nunn/
Randy,Feenstra,R,IA-04,0,4,https://www.lcv.org/moc/randy-feenstra/
Kansas
Tracey,Mann,R,KS-01,0,1,https://www.lcv.org/moc/tracey-mann/
Derek,Schmidt,R,KS-02,0,0,https://www.lcv.org/moc/derek-schmidt/
Sharice,Davids,D,KS-03,94,95,https://www.lcv.org/moc/sharice-davids/
Ron,Estes,R,KS-04,0,2,https://www.lcv.org/moc/ron-estes/
Kentucky
James,Comer,R,KY-01,0,4,https://www.lcv.org/moc/james-comer/
Brett,Guthrie,R,KY-02,0,5,https://www.lcv.org/moc/brett-guthrie/
Morgan,McGarvey,D,KY-03,100,100,https://www.lcv.org/moc/morgan-mcgarvey/
Thomas,Massie,R,KY-04,15,9,https://www.lcv.org/moc/thomas-massie/
Harold,Rogers,R,KY-05,0,8,https://www.lcv.org/moc/harold-rogers/
Garland,Barr,R,KY-06,0,4,https://www.lcv.org/moc/garland-barr/
Louisiana
Steve,Scalise,R,LA-01,0,3,https://www.lcv.org/moc/steve-scalise/
Troy,Carter,D,LA-02,100,99,https://www.lcv.org/moc/troy-carter/
Clay,Higgins,R,LA-03,0,1,https://www.lcv.org/moc/clay-higgins/
Mike,Johnson,R,LA-04,na,2,https://www.lcv.org/moc/mike-johnson/
Julia,Letlow,R,LA-05,0,4,https://www.lcv.org/moc/julia-letlow/
Cleo,Fields,D,LA-06,91,79,https://www.lcv.org/moc/cleo-fields/
Maine
Chellie,Pingree,D,ME-01,97,97,https://www.lcv.org/moc/chellie-m-pingree/
Jared,Golden,D,ME-02,55,70,https://www.lcv.org/moc/jared-golden/
Maryland
Andy,Harris,R,MD-01,0,2,https://www.lcv.org/moc/andy-harris/
Johnny,Olszewski,D,MD-02,100,100,https://www.lcv.org/moc/johnny-olszewski/
Sarah,Elfreth,D,MD-03,100,100,https://www.lcv.org/moc/sarah-elfreth/
Glenn,Ivey,D,MD-04,100,100,https://www.lcv.org/moc/glenn-ivey/
Steny,Hoyer,D,MD-05,88,84,https://www.lcv.org/moc/steny-h-hoyer/
April,"McClain Delaney",D,MD-06,94,94,https://www.lcv.org/moc/april-mcclain-delaney/
Kweisi,Mfume,D,MD-07,97,93,https://www.lcv.org/moc/kweisi-mfume/
Jamie,Raskin,D,MD-08,100,99,https://www.lcv.org/moc/jamie-raskin/
Massachusetts
Richard,Neal,D,MA-01,100,94,https://www.lcv.org/moc/richard-e-neal/
Jim,McGovern,D,MA-02,100,99,https://www.lcv.org/moc/jim-mcgovern/
Lori,Trahan,D,MA-03,100,97,https://www.lcv.org/moc/lori-trahan/
Jake,Auchincloss,D,MA-04,97,97,https://www.lcv.org/moc/jake-auchincloss/
Katherine,Clark,D,MA-05,100,97,https://www.lcv.org/moc/katherine-m-clark/
Seth,Moulton,D,MA-06,94,96,https://www.lcv.org/moc/seth-moulton/
Ayanna,Pressley,D,MA-07,97,97,https://www.lcv.org/moc/ayanna-pressley/
Stephen,Lynch,D,MA-08,100,95,https://www.lcv.org/moc/stephen-f-lynch/
Bill,Keating,D,MA-09,100,96,https://www.lcv.org/moc/bill-keating/
Michigan
Jack,Bergman,R,MI-01,0,7,https://www.lcv.org/moc/jack-bergman/
John,Moolenaar,R,MI-02,0,7,https://www.lcv.org/moc/john-moolenaar/
Hillary,Scholten,D,MI-03,88,92,https://www.lcv.org/moc/hillary-scholten/
Bill,Huizenga,R,MI-04,0,6,https://www.lcv.org/moc/bill-huizenga/
Tim,Walberg,R,MI-05,0,4,https://www.lcv.org/moc/tim-walberg/
Debbie,Dingell,D,MI-06,100,99,https://www.lcv.org/moc/debbie-dingell/
Tom,Barrett,R,MI-07,0,0,https://www.lcv.org/moc/tom-barrett/
Kristen,"McDonald Rivet",D,MI-08,85,85,https://www.lcv.org/moc/kristen-mcdonald-rivet/
Lisa,McClain,R,MI-09,0,1,https://www.lcv.org/moc/lisa-mcclain/
John,James,R,MI-10,0,7,https://www.lcv.org/moc/john-james/
Haley,Stevens,D,MI-11,100,98,https://www.lcv.org/moc/haley-stevens/
Rashida,Tlaib,D,MI-12,100,98,https://www.lcv.org/moc/rashida-tlaib/
Shri,Thanedar,D,MI-13,97,99,https://www.lcv.org/moc/shri-thanedar/
Minnesota
Brad,Finstad,R,MN-01,0,0,https://www.lcv.org/moc/brad-finstad/
Angie,Craig,D,MN-02,97,96,https://www.lcv.org/moc/angie-craig/
Kelly,Morrison,D,MN-03,100,100,https://www.lcv.org/moc/kelly-morrison/
Betty,McCollum,D,MN-04,100,96,https://www.lcv.org/moc/betty-mccollum/
Ilhan,Omar,D,MN-05,97,98,https://www.lcv.org/moc/ilhan-omar/
Tom,Emmer,R,MN-06,0,3,https://www.lcv.org/moc/tom-emmer/
